Dataset,License,Processed Path,Format,Task,Capability,Original Rows,Filter Status,Re-distill Status,Tokenize Status,Decontamination,Total Tokens,Image Tokens,Text Tokens,Stage2 Samples,LCT Samples
allenai/Molmo2-MultiImagePoint,Apache-2.0,,,Grounding,,,,In Progress,,,,,,,
allenai/MolmoPoint-GUISyn,Apache-2.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/molmopoint_guisyn/,Parquet,Multiturn QA,Grounding,36192,Done,Not Planned,Done,Not Required,256925050,181686408,75238642,20939,15253
finevision/chinesememe,Apache-2.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/chinesememe_recap_en/,Parquet,Multiturn QA,meme/culture/multilingual,54212,Done,Done,Done,Required,73161780,59680891,13480889,42678,0
finevision/memotion,Apache-2.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/memotion_recap_en/,Parquet,Multiturn QA,meme/sentiment/english,6850,Done,Done,Done,Required,9979886,8165036,1814850,5857,0
finevision/mmevol,Apache-2.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/mmevol_judged/,Parquet,Multiturn QA + Grounding,visual reasoning/grounding,136519,Done,Done (judge+regen hybrid),Done,Required (filtering),215704462,174625890,41078572,90216,2162
finevision/CoSyn_400k,Apache-2.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/CoSyn_400k/,Parquet,Multiturn QA,Chart/OCR/Document/Chemistry/Circuit/Math/Music/Nutrition/Table,93466,Done,Not Planned (code-grounded already gold standard),Done,Not Required,412606455,367844221,44762234,87057,6408
finevision/DoclingMatix,MIT,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/DoclingMatix/,Parquet,Multiturn QA,Document understanding,1270910,Done,Not Planned,Not Started,Not Required,,,,,
finevision/aguvis-stage-1,Apache-2.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/aguvis-stage-1/,Parquet,Multiturn QA + Grounding,GUI agent,458957,Done,Coord normalization only (regex),Not Started,Not Required,,,,,
finevision/localized_narratives,CC-BY-4.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/localized_narratives/,Parquet,Captioning,Image captioning,199998,Done,Recommended (vague captions),Not Started,Not Required,,,,,
finevision/olmOCR-mix-0225-documents,ODC-BY,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/olmOCR-mix-0225-documents/,Parquet,QA,OCR documents,228858,Done,Not Planned,Not Started,Not Required,,,,,
finevision/olmOCR-mix-0225-books,ODC-BY,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/olmOCR-mix-0225-books/,Parquet,QA,OCR books,15194,Done,Not Planned,Not Started,Not Required,,,,,
finevision/coco_colors,CC-BY-4.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/coco_colors/,Parquet,QA,Color attributes,118287,Done,Optional (enrich Q&A),Not Started,Not Required,,,,,
finevision/cocoqa,CC-BY-4.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/cocoqa/,Parquet,QA,Image VQA,46287,Done,Optional (short answers),Not Started,Not Required,,,,,
finevision/nlvr2,CC-BY-4.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/nlvr2/,Parquet,QA (binary),2-image visual reasoning,50426,Done,Optional (add reasoning),Not Started,Not Required,,,,,
finevision/multihiertt,MIT,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/multihiertt/,Parquet,Multiturn QA,Hierarchical table reasoning,7619,Done,Not Planned,Not Started,Not Required,,,,,
finevision/tat_dqa,CC-BY-4.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/tat_dqa/,Parquet,QA,Table+text doc reasoning,2207,Done,Not Planned,Not Started,Not Required,,,,,
finevision/lnqa,CC-BY-4.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/lnqa/,Parquet,Multiturn QA,Localized narratives QA,302780,Done,Optional,Not Started,Not Required,,,,,
finevision/latexformulas,OpenRAIL,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/latexformulas/,Parquet,QA,LaTeX OCR,552340,Done,Not Planned,Not Started,Not Required,,,,,
finevision/latex_handwritten,Apache-2.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/latex_handwritten/,Parquet,QA,Handwritten LaTeX OCR,39583,Done,Not Planned,Not Started,Not Required,,,,,
finevision/tal_ocr_eng,Apache-2.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/tal_ocr_eng/,Parquet,QA,English OCR,256646,Done,Not Planned,Not Started,Not Required,,,,,
finevision/svrd,CC-BY-4.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/svrd/,Parquet,QA,Receipt OCR,4396,Done,Not Planned,Not Started,Not Required,,,,,
finevision/art,CC-BY-4.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/art/,Parquet,Multiturn QA (truncated),Scene text OCR,5492,Done,Not Planned,Not Started,Not Required,,,,,
finevision/wordart,CC-BY-4.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/wordart/,Parquet,QA,Stylized text,4804,Done,Not Planned,Not Started,Not Required,,,,,
finevision/handwriting_forms,OpenRAIL,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/handwriting_forms/,Parquet,QA,Handwritten forms,1400,Done,Not Planned,Not Started,Not Required,,,,,
finevision/spark,OpenRAIL,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/spark/,Parquet,QA,Spatial sparse reasoning,3904,Done,Not Planned,Not Started,Not Required,,,,,
finevision/spot_the_diff,CC-BY-4.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/spot_the_diff/,Parquet,QA,Image-pair change detection,8566,Done,Not Planned,Not Started,Not Required,,,,,
finevision/mmra,MIT,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/mmra/,Parquet,Multiturn QA,Multimodal reasoning,1024,Done,Not Planned,Not Started,Not Required,,,,,
finevision/yesbut,Apache-2.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/yesbut/,Parquet,QA,Sarcasm understanding,4318,Done,Not Planned,Not Started,Not Required,,,,,
finevision/ai2d_merged,CC-BY-SA-4.0,/capstor/store/cscs/swissai/infra01/vision-datasets/processed/sft/finevision/ai2d_merged_decontaminated/,Parquet,QA (MCQ),Science diagrams,4858,Done,Not Planned,Not Started,Required (Done - 3 contaminated dropped),,,,,
